KPI,Objectif_Cible,Mesure_Actuelle,Unite,Frequence_Mesure,Responsable
Duree moyenne intervention,120,164,minutes,Hebdomadaire,Chef Techniciens
Taux rapports digitaux,100,0,pourcentage,Quotidien,Chef Techniciens
Nombre devis terrain generes,150,0,nombre/an,Mensuel,Direction Commerciale
Taux renouvellement contrats,85,65,pourcentage,Mensuel,Direction Commerciale
Delai moyen facturation,2,15,jours,Hebdomadaire,Comptabilite
Satisfaction client NPS,50,20,score,Trimestriel,Service Client
Taux prise RDV en ligne,60,0,pourcentage,Mensuel,Secretariat
Interventions par technicien,5,4,nombre/jour,Hebdomadaire,Chef Techniciens
Taux erreur administratif,2,25,pourcentage,Mensuel,Secretariat
Temps archivage papier,0,2,heures/jour,Hebdomadaire,Secretariat
CAgenere devis terrain,45000,0,EUR/an,Annuel,Direction
Economies operationnelles,355000,0,EUR/an,Annuel,Direction
